Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values
1,EGF,,EGFR,,CASP3,0.349422873
2,EGF,,JAK1,,CASP3,0.311171946
3,EGF,,MAP2K1,,CASP3,0.223043119
4,EGF,,AktM,,CASP3,0.266163074
5,EGF,,IKBKB,,CASP3,0.158025471
6,EGF,,PIK3CA,,CASP3,0.252664273
7,"EGF,TNF",,,,CASP3,0.184038355
8,EGF,,,,CASP3,0
9,EGF,,"EGFR,JAK1",,CASP3,0.426889412
10,EGF,,"AktP,PDPK1",,CASP3,0.42202487
11,EGF,,"EGFR,AktP,PDPK1",,CASP3,0.871654044
12,EGF,,"JAK1,AktP,PDPK1",,CASP3,0.768115225
13,EGF,,"EGFR,MAP2K1",,CASP3,0.359172106
14,EGF,,"MAP2K1,JAK1",,CASP3,0.430935145
15,EGF,,"AktP,PDPK1,MAP2K1",,CASP3,0.804859141
16,EGF,,"EGFR,AktM",,CASP3,0.49241633
17,EGF,,"JAK1,AktM",,CASP3,0.517960951
18,EGF,,"AktM,AktP,PDPK1",,CASP3,1
19,EGF,,"MAP2K1,AktM",,CASP3,0.499443052
20,EGF,,"EGFR,IKBKB",,CASP3,0.341870116
21,EGF,,"JAK1,IKBKB",,CASP3,0.42489318
22,EGF,,"AktP,PDPK1,IKBKB",,CASP3,0.743505816
23,EGF,,"MAP2K1,IKBKB",,CASP3,0.448244605
24,EGF,,"AktM,IKBKB",,CASP3,0.478775239
25,EGF,,"EGFR,PIK3CA",,CASP3,0.534538823
26,EGF,,"JAK1,PIK3CA",,CASP3,0.523772979
27,EGF,,"AktP,PDPK1,PIK3CA",,CASP3,0.697642467
28,EGF,,"MAP2K1,PIK3CA",,CASP3,0.360222342
29,EGF,,"AktM,PIK3CA",,CASP3,0.457528508
30,EGF,,"IKBKB,PIK3CA",,CASP3,0.266201735
31,"EGF,TNF",,EGFR,,CASP3,0.362528502
32,"EGF,TNF",,JAK1,,CASP3,0.333180936
33,"EGF,TNF",,"AktP,PDPK1",,CASP3,0.62432706
34,"EGF,TNF",,MAP2K1,,CASP3,0.293015945
35,"EGF,TNF",,AktM,,CASP3,0.403804507
36,"EGF,TNF",,IKBKB,,CASP3,0.270989918
37,"EGF,TNF",,PIK3CA,,CASP3,0.413114527